time,temperature,humidity,light
2026-06-12 15:06:32,22.86,66.42,177.5
2026-06-12 15:06:37,22.9,66.57,176.67
2026-06-12 15:06:42,22.91,66.47,157.5
2026-06-12 15:06:47,22.96,66.73,23.33
2026-06-12 16:20:25,23.62,70.08,250.0
2026-06-12 16:20:30,23.63,70.02,257.5
2026-06-12 16:20:35,23.6,69.83,255.83
2026-06-12 16:20:40,23.65,70.45,274.17
2026-06-12 16:20:46,23.62,70.12,3.33
2026-06-12 16:20:51,23.52,69.81,285.83
2026-06-12 16:20:56,23.5,69.64,283.33
2026-06-12 16:21:01,23.4,69.56,284.17
2026-06-12 16:21:06,23.37,69.51,287.5
2026-06-12 16:21:11,23.34,69.46,287.5
2026-06-12 16:21:16,23.35,69.69,237.5
2026-06-12 16:21:21,23.38,69.81,230.83
2026-06-12 16:21:26,23.38,69.78,272.5
2026-06-12 16:21:31,23.33,69.68,273.33
2026-06-12 16:21:36,23.27,69.63,157.5
2026-06-12 16:21:42,23.31,69.45,204.17
2026-06-12 16:21:47,23.38,69.51,264.17
2026-06-12 16:21:52,23.44,69.47,267.5
2026-06-12 16:21:57,23.41,69.22,266.67
2026-06-12 16:22:02,23.4,69.3,252.5
2026-06-12 16:22:07,23.41,69.32,223.33
2026-06-12 16:22:12,23.4,69.25,267.5
2026-06-12 16:22:17,23.37,69.15,267.5
2026-06-12 16:22:22,23.34,69.17,268.33
2026-06-12 16:22:27,23.33,69.16,256.67
2026-06-12 16:22:32,23.32,69.13,268.33
2026-06-12 16:22:37,23.26,69.0,258.33
2026-06-12 16:22:42,23.24,69.12,270.83
2026-06-12 16:22:47,23.18,69.2,269.17
2026-06-12 16:22:52,23.21,69.33,270.0
2026-06-12 16:22:57,23.2,69.35,269.17
2026-06-12 16:23:02,23.2,69.3,205.0
2026-06-12 16:23:07,23.14,69.38,268.33
2026-06-12 16:36:40,23.76,66.35,350.83
2026-06-12 16:36:45,23.66,66.11,348.33
2026-06-12 16:36:50,23.63,66.25,345.0
2026-06-12 16:36:55,23.61,66.56,224.17
